accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
4.795935871565024447e-03,-3.821880772494489972e-03,-9.798625231629378263e+00
1.197953475673383360e-03,-4.730949509607004951e-03,-9.789031133460760259e+00
2.598839914463982651e-04,-2.079597167791995011e-03,-9.799915606529056689e+00
-7.398587105278867093e-03,8.433658527701788643e-03,-9.791303894497337623e+00
1.384811386586585124e-03,-1.177030684865876167e-03,-9.798446941903421248e+00
1.776317662358544228e-03,1.634925784659520265e-03,-9.793853849979502257e+00
-9.610955312373091822e-03,-3.681941280523490494e-03,-9.786629218043813694e+00
-1.756800643084242743e-03,-3.348394777575437829e-03,-9.796763148203499583e+00
9.609524630321658947e-03,5.253758865360229520e-03,-9.795900424470778134e+00
-9.973781362069349902e-04,1.055103855284826413e-02,-9.799281625321995648e+00
3.539822035920882565e-04,-2.822864702227687473e-03,-9.791170115570839272e+00
-5.157150596198329740e-04,-6.988686755314952974e-03,-9.792893439077429818e+00
7.830825425340879080e-04,-5.951281720803423131e-03,-9.797855935954075335e+00
-7.936029194799362231e-04,-6.803696386045043724e-03,-9.793554968138671768e+00
3.722123602668113689e-03,-3.756337940848146571e-03,-9.794460870151159071e+00
3.467525633600097683e-03,-2.155418399588224145e-03,-9.781468794069718697e+00
1.826825841761678176e-03,-2.198731650625426141e-03,-9.806167515152329983e+00
7.243469888067202885e-03,1.060593199973039512e-03,-9.802284323826608414e+00
4.999819181529760806e-03,1.391770976328489699e-03,-9.800264002843208644e+00
-9.618156660707480961e-05,8.893615919615851031e-03,-9.797801451004245266e+00
3.060073962982073816e-03,-9.739504125919475758e-03,-9.794739631746198327e+00
3.257976599292902297e-03,-6.039711293359095387e-03,-9.790455774100431441e+00
-7.045991917669244993e-03,1.449023252836397456e-03,-9.792630559993186878e+00
9.196895055247292922e-03,-1.062173646086068436e-02,-9.793953714203428973e+00
4.969103758582641469e-04,8.678493420304658063e-03,-9.787030234129090900e+00
7.582060114033084032e-04,7.142872000057151963e-03,-9.797855370845502065e+00
